txn_ref,from_account,to_account,from_customer,to_customer,amount,currency,channel,transaction_type,timestamp,description,ip_address,device_id,location,scenario_label
TXN31F635FDAECD,ACC_SOURCE_2,ACC004,C_SRC_2,C004,279516.99,INR,IMPS,CREDIT,2024-04-05T11:55:12+00:00,Fund transfer,10.0.0.1,DEV_D004,Chennai,D_LAYERING
TXN47389E99C487,ACC004,ACC_DEST_2,C004,C_DST_2,450454.24,INR,IMPS,DEBIT,2024-04-05T12:24:00+00:00,Fund transfer out,10.0.0.1,DEV_D004,Chennai,D_LAYERING
TXN8DBE97A3133A,ACC_SOURCE_3,ACC004,C_SRC_3,C004,326941.38,INR,IMPS,CREDIT,2024-04-05T12:52:48+00:00,Fund transfer,10.0.0.1,DEV_D004,Chennai,D_LAYERING
TXN5FEF3964C5C9,ACC004,ACC_DEST_3,C004,C_DST_3,245657.44,INR,IMPS,DEBIT,2024-04-05T13:21:36+00:00,Fund transfer out,10.0.0.1,DEV_D004,Chennai,D_LAYERING
TXND627DD07C660,ACC_SOURCE_4,ACC004,C_SRC_4,C004,361788.83,INR,IMPS,CREDIT,2024-04-05T13:50:24+00:00,Fund transfer,10.0.0.1,DEV_D004,Chennai,D_LAYERING
TXNE8D61922664E,ACC004,ACC_DEST_4,C004,C_DST_4,406278.63,INR,IMPS,DEBIT,2024-04-05T14:19:12+00:00,Fund transfer out,10.0.0.1,DEV_D004,Chennai,D_LAYERING
TXNBEC08B5A2F86,ACC005,ACC006,C005,C006,340230.21,INR,NEFT,TRANSFER,2024-04-15T09:00:00+00:00,Business payment,172.16.0.5,DEV_E005,Hyderabad,E_CIRCULAR
TXNB17E9C7C064F,ACC006,ACC007,C006,C007,342343.26,INR,NEFT,TRANSFER,2024-04-15T11:00:00+00:00,Settlement,172.16.0.6,DEV_E006,Hyderabad,E_CIRCULAR
TXN979759771160,ACC007,ACC005,C007,C005,459029.87,INR,NEFT,TRANSFER,2024-04-15T13:00:00+00:00,Return payment,172.16.0.7,DEV_E007,Hyderabad,E_CIRCULAR
TXN8E10777D7502,ACC005,ACC006,C005,C006,429975.61,INR,NEFT,TRANSFER,2024-04-17T09:00:00+00:00,Business payment,172.16.0.5,DEV_E005,Hyderabad,E_CIRCULAR
TXNC0284FF3FC41,ACC006,ACC007,C006,C007,367620.02,INR,NEFT,TRANSFER,2024-04-17T11:00:00+00:00,Settlement,172.16.0.6,DEV_E006,Hyderabad,E_CIRCULAR
TXNA42BB8467BB4,ACC007,ACC005,C007,C005,363515.17,INR,NEFT,TRANSFER,2024-04-17T13:00:00+00:00,Return payment,172.16.0.7,DEV_E007,Hyderabad,E_CIRCULAR
TXNFCBF4568B70E,ACC005,ACC006,C005,C006,324200.84,INR,NEFT,TRANSFER,2024-04-19T09:00:00+00:00,Business payment,172.16.0.5,DEV_E005,Hyderabad,E_CIRCULAR
TXN3255D5D63AA8,ACC006,ACC007,C006,C007,324939.47,INR,NEFT,TRANSFER,2024-04-19T11:00:00+00:00,Settlement,172.16.0.6,DEV_E006,Hyderabad,E_CIRCULAR
TXNB90D76583046,ACC007,ACC005,C007,C005,327617.11,INR,NEFT,TRANSFER,2024-04-19T13:00:00+00:00,Return payment,172.16.0.7,DEV_E007,Hyderabad,E_CIRCULAR
TXN474B7F260BBD,ACC009,ACC_AGGREGATOR,C009,C_AGGREGATOR,70468.57,INR,UPI,DEBIT,2024-04-22T09:00:11.717306+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN672518CC01AF,ACC009,ACC_AGGREGATOR,C009,C_AGGREGATOR,78891.56,INR,UPI,DEBIT,2024-04-23T12:51:39.122026+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXNFC20903E1D69,ACC008,ACC_AGGREGATOR,C008,C_AGGREGATOR,38494.2,INR,UPI,DEBIT,2024-04-23T13:54:52.464507+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN8BB69B64FA1C,ACC010,ACC_AGGREGATOR,C0010,C_AGGREGATOR,11033.05,INR,UPI,DEBIT,2024-04-23T15:08:57.115869+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN01D219CF8FFF,ACC010,ACC_AGGREGATOR,C0010,C_AGGREGATOR,69408.7,INR,UPI,DEBIT,2024-04-25T14:44:38.398685+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXNE501741FF4B3,ACC009,ACC_AGGREGATOR,C009,C_AGGREGATOR,19812.76,INR,UPI,DEBIT,2024-04-26T03:06:40.988761+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN21322112BA7C,ACC009,ACC_AGGREGATOR,C009,C_AGGREGATOR,27405.94,INR,UPI,DEBIT,2024-04-26T07:57:01.490679+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXNAACB0C44057C,ACC008,ACC_AGGREGATOR,C008,C_AGGREGATOR,56828.44,INR,UPI,DEBIT,2024-04-26T20:15:01.804704+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN98A6FA24F72D,ACC008,ACC_AGGREGATOR,C008,C_AGGREGATOR,51181.61,INR,UPI,DEBIT,2024-04-27T08:40:57.386890+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN4D20EE8D84E6,ACC010,ACC_AGGREGATOR,C0010,C_AGGREGATOR,14104.48,INR,UPI,DEBIT,2024-05-01T22:51:38.324388+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN2D31B24E5D22,ACC009,ACC_AGGREGATOR,C009,C_AGGREGATOR,40173.58,INR,UPI,DEBIT,2024-05-03T07:58:35.790868+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXNB19D6348FB58,ACC008,ACC_AGGREGATOR,C008,C_AGGREGATOR,33129.99,INR,UPI,DEBIT,2024-05-05T22:11:32.662544+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN382780290707,ACC010,ACC_AGGREGATOR,C0010,C_AGGREGATOR,79679.59,INR,UPI,DEBIT,2024-05-07T11:09:11.494267+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN86976C0C96FE,ACC008,ACC_AGGREGATOR,C008,C_AGGREGATOR,10503.36,INR,UPI,DEBIT,2024-05-11T13:38:43.733454+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN84D2B72D645A,ACC010,ACC_AGGREGATOR,C0010,C_AGGREGATOR,29967.45,INR,UPI,DEBIT,2024-05-11T16:32:45.177332+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN8A9D60F53A3C,ACC010,ACC_AGGREGATOR,C0010,C_AGGREGATOR,28564.21,INR,UPI,DEBIT,2024-05-14T03:31:51.000251+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXNEFBC44161B27,ACC008,ACC_AGGREGATOR,C008,C_AGGREGATOR,43086.97,INR,UPI,DEBIT,2024-05-14T08:55:33.547762+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN157CEE22F32C,ACC009,ACC_AGGREGATOR,C009,C_AGGREGATOR,60974.95,INR,UPI,DEBIT,2024-05-14T09:25:35.788154+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN881B89652212,ACC009,ACC_AGGREGATOR,C009,C_AGGREGATOR,66561.56,INR,UPI,DEBIT,2024-05-16T01:17:46.185278+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN4E87E961F9C7,ACC010,ACC_AGGREGATOR,C0010,C_AGGREGATOR,43695.09,INR,UPI,DEBIT,2024-05-16T20:32:53.821326+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN60EA84D455B6,ACC008,ACC_AGGREGATOR,C008,C_AGGREGATOR,60634.68,INR,UPI,DEBIT,2024-05-17T04:18:56.930765+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN62B78FEE9CB1,ACC008,ACC_AGGREGATOR,C008,C_AGGREGATOR,26025.92,INR,UPI,DEBIT,2024-05-18T00:54:08.673712+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN0BE519AAE473,ACC009,ACC_AGGREGATOR,C009,C_AGGREGATOR,27486.45,INR,UPI,DEBIT,2024-05-18T07:45:04.433323+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
TXN2C663E4269C9,ACC010,ACC_AGGREGATOR,C0010,C_AGGREGATOR,13541.18,INR,UPI,DEBIT,2024-05-20T20:29:00.158126+00:00,Transfer,203.0.113.5,DEV_F001,Pune,F_SHARED_DEVICE
